earn height sex ed age race
 35000 69.99012 male   16 30 white   
 40000 71.66564 male   16 28 white   
 35000 64.20183 female 12 72 white   
 50000 66.06455 female 16 54 white   
100000 69.66688 male   18 57 white   
 35000 68.56316 male   13 28 white   
 24000 67.72061 female 12 35 white   
 35000 73.83110 male   17 43 white   
 38000 72.53878 male   16 74 white   
 30000 67.24277 male   12 52 white   
  5000 63.98628 female 12 39 hispanic
148000 66.74020 male   18 38 white   
 30000 69.77329 male   12 32 white   
  6500 63.75686 female 15 31 white   
  3000 61.55948 female 16 37 white   
 23000 69.29717 male   18 69 white   
 40000 68.47821 male   17 41 white   
 30000 72.11037 male   14 39 white   
 14000 63.10641 female 12 37 white   
 15000 68.71668 female 12 34 white   
 26000 64.00637 female 18 36 white   
  8000 71.00964 female 12 25 white   
 24000 63.84402 female 16 27 black   
  5124 66.10071 male    8 67 white   
 10000 60.97499 female 15 25 white   
 12000 67.75510 female 16 32 white   
 50000 68.45831 male   17 34 white   
 23000 63.80380 female 13 26 white   
 40000 65.70889 male   14 34 black   
  6000 61.93158 female 13 26 black   
  5000 65.32257 female 16 30 black   
110000 65.96504 male   18 37 white   
 41000 72.04236 male   13 32 hispanic
 23000 62.57023 female 13 78 white   
 21000 70.43141 male   12 23 white   
  4000 62.32131 female 12 29 white   
 25000 70.70824 male   12 36 white   
 30000 70.27755 male   18 46 white   
 14000 63.87068 female 11 51 white   
  6000 63.47754 female 12 35 white   
 14000 64.59348 female 12 46 white   
 43000 70.51344 male   12 27 white   
 25000 61.70052 female 15 33 white   
 40000 72.55343 male   12 66 white   
 65000 67.58731 male   17 40 white   
 16000 76.15187 male   15 32 white   
  8000 65.57775 female 12 71 white   
 20000 64.22912 female 15 39 white   
 14000 60.31368 female 14 72 white   
 45000 68.13747 male   12 74 white   
  8000 60.94487 female 11 72 white   
 12000 66.02238 male   12 28 white   
  8000 62.88533 female 14 31 white   
 16000 62.67241 female 15 32 white   
  6000 73.68754 male   15 73 white   
 19000 70.10196 male   12 32 white   
 21000 68.30324 female 13 39 white   
 43000 69.52018 female 18 46 white   
 35000 68.71778 male   15 21 white   
  8000 70.49465 male   10 75 white   
 21000 62.77760 female 14 41 white   
  5800 65.12696 female 12 30 white   
 17000 69.34231 male   12 46 white   
 24000 67.54425 male   14 49 white   
  5000 62.34081 female 11 71 white   
 11000 66.17610 female 12 23 white   
 10000 65.45162 male   13 27 white   
 40000 69.78536 male   14 36 white   
 40000 70.46079 male   12 47 white   
 24000 65.75426 female 14 29 black   
 24000 68.49064 male   16 26 white   
 20000 68.13681 male   16 33 white   
 60000 69.74409 male   18 50 white   
 11000 64.55673 female 13 47 white   
  5000 64.39143 female 15 40 white   
 27000 65.29906 female 16 30 white   
 89000 76.53780 male   16 41 white   
 40000 70.02428 male   14 28 white   
 15000 64.45588 female 16 26 white   
  1000 64.17829 female 14 20 white   
 22000 64.37256 female 12 60 white   
 12000 63.68146 female  8 48 white   
 22000 62.56621 female 16 28 white   
 40000 57.50322 female 12 56 black   
 40000 62.02662 female 16 44 white   
 35000 64.45005 female 14 53 hispanic
  7000 63.63646 female 12 28 white   
 14000 62.23202 female 12 37 white   
 15000 64.01304 female 12 56 white   
  6000 65.88741 female 13 34 white   
 11000 69.29444 female 12 41 black   
 10000 64.34100 female 13 31 white   
 20000 70.70352 male   14 41 white   
  7000 62.08915 female 12 73 white   
 38000 68.29980 male    9 46 white   
 29000 67.80439 male    9 58 white   
 20000 61.77627 female 10 44 white   
  8000 62.51287 female 12 57 white   
 36000 68.73132 male   16 51 white   
  1500 67.04634 female 12 44 white   
 42000 64.29710 female 18 29 white   
 25000 70.38619 male   12 22 white   
 13000 68.95557 male   10 20 white   
 30000 69.24640 male   11 51 black   
  7000 68.57202 male   12 23 white   
 31000 59.84566 female 12 48 black   
 15000 66.42150 female 12 42 black   
 50000 66.63238 male   16 49 white   
  5000 66.24960 male   15 20 white   
   600 70.23859 female 12 18 black   
 14000 64.48861 female  8 51 black   
 40000 59.97167 female 18 35 other   
 24000 68.26500 male   18 36 white   
 22000 72.73850 male   12 24 black   
 20000 71.86160 male    8 36 white   
 20112 63.75193 female 12 38 white   
 12000 67.34015 male   13 67 white   
 41000 67.24025 female 13 40 white   
 13000 71.46243 male    9 50 black   
 60000 72.73708 male   16 31 white   
 24000 70.28583 male   16 25 white   
 38000 70.06343 male   16 36 white   
  3000 71.13169 female 14 27 white   
 13000 65.96480 female 12 30 white   
  5000 74.80273 male   12 21 white   
 20000 60.26324 female 14 37 white   
 22000 72.45994 male   12 28 white   
 28000 74.78834 male    9 55 black   
 22000 59.80482 female 12 41 white   
 30000 73.43138 male   12 44 black   
 30000 64.59752 female 12 32 black   
 30000 67.11170 male   16 31 white   
 32000 61.05400 female 12 69 white   
 26000 69.28213 female 17 43 white   
 22000 64.41598 female 14 34 white   
 25000 70.34138 male   12 33 white   
 11000 67.63296 female 10 24 white   
 13000 62.18865 female 12 53 white   
 10000 63.78785 female 15 42 white   
 12000 67.58146 female 12 45 white   
  7000 63.51531 female 11 64 white   
 57000 72.64024 male   14 37 white   
 36000 72.82462 male   16 37 white   
 29000 69.40743 male   14 29 hispanic
  8000 68.29110 female 13 19 white   
  3000 70.64524 male   11 18 black   
 20000 66.13450 female 16 41 white   
 33000 66.37326 male   12 57 white   
 15000 68.30015 female 12 68 hispanic
 16000 70.29628 male   12 33 white   
  5000 61.82134 female 12 78 white   
  8000 65.75500 female 14 43 white   
 32000 63.02599 female 16 34 black   
 14500 74.51779 male   12 24 white   
 13000 66.59654 female 12 29 white   
  7000 62.63598 female  9 25 white   
 50000 64.71526 female 18 65 black   
 12000 69.20172 female 12 35 black   
 19000 71.47208 male   14 61 white   
  9000 61.90178 female 12 55 white   
 20000 64.74551 female 12 35 black   
 55000 71.71052 male   18 35 hispanic
 10000 64.90903 female 12 40 white   
 13000 63.15415 female 12 19 white   
 20000 63.97677 female 13 31 white   
 30000 71.58899 male   12 26 white   
 12000 63.59626 female 12 34 white   
 26000 70.06810 female 13 33 white   
 12500 64.97475 female 12 27 white   
  8000 64.31371 female 12 29 white   
 15000 64.20908 female 16 32 hispanic
 65000 66.97400 male   14 25 white   
 25000 73.18381 male   10 21 white   
  8000 72.53887 male   14 21 hispanic
 15000 64.50500 male   14 21 other   
 12000 63.93105 female 16 40 white   
 35000 67.08204 female 13 37 black   
 40000 66.61123 male   16 31 white   
 29000 73.89562 male   12 22 white   
 15000 63.44261 female 13 31 white   
 20000 73.68861 male   12 36 white   
  3000 73.91113 male    6 62 black   
  1000 63.08713 female 16 19 black   
  8000 62.03633 female 11 23 black   
  5000 62.45248 female 12 18 white   
 25000 67.03790 female 16 27 white   
 20000 68.59331 male   12 57 white   
 30000 72.67425 male   12 34 white   
 12000 62.87129 female 12 35 white   
 10000 67.22335 female 14 32 white   
 16000 69.39067 male   12 19 white   
 45000 71.41330 male   12 29 white   
 40000 72.08596 male   14 54 white   
 25000 70.21479 male   14 81 white   
 19000 64.30326 female 14 52 white   
 17600 64.13060 female 16 30 white   
  7000 67.91112 male   12 67 white   
 30000 74.34589 male   12 32 white   
 18000 61.81896 female 11 47 white   
 25000 65.12869 female 16 47 white   
  6000 59.96125 female  5 62 white   
 70000 69.38679 male   18 42 white   
 15000 60.75150 female 16 34 other   
 25000 64.93233 female 17 33 white   
 35000 66.20340 female 16 28 white   
 18000 69.91583 male   16 24 white   
 28000 71.56571 male   15 30 black   
 15000 63.90538 female 11 21 hispanic
 22000 71.33306 male   14 28 hispanic
 35000 73.39039 male   12 30 white   
 18000 64.03798 female 15 46 black   
 35000 67.84231 male   14 37 white   
 16400 64.25282 female 12 21 black   
 22000 65.64795 male   16 37 black   
 30000 66.54677 female 16 58 white   
 17000 64.12242 female 12 27 hispanic
 25000 64.11060 female 14 36 black   
 10000 62.21866 female 12 51 white   
 40000 68.94602 male   12 37 white   
 12500 63.24088 female 12 63 white   
 35000 72.39141 male   15 45 white   
105000 74.58005 male   12 49 white   
100000 69.52920 male   18 40 white   
 21000 69.33476 male   12 51 white   
 10000 64.01763 female 14 56 white   
 33000 71.93661 male   12 26 white   
 26000 69.46231 male   18 25 white   
 60000 63.07907 female 10 78 white   
 18000 71.11434 male   16 45 white   
 15000 59.34178 female  8 61 white   
  5000 68.31486 male   13 20 white   
 60000 77.05128 male   17 42 white   
 12000 68.41968 female 14 69 white   
 28000 69.67201 male   18 38 black   
 42000 69.28192 male   18 43 white   
  2000 62.73899 female 12 33 white   
 20000 72.79469 male   18 33 black   
 28000 66.12674 male   15 40 other   
 10000 72.19215 male   17 62 black   
 31000 72.22432 male   12 31 black   
 17000 68.98432 female 13 37 black   
 16000 67.17655 female 12 39 white   
 35000 65.67095 female 15 38 white   
  3000 67.34625 female 12 26 white   
 16000 67.53278 female 18 39 white   
 35000 64.57749 female 15 42 black   
 27000 61.58435 female 17 33 black   
 25000 69.38512 male   17 29 white   
 40000 69.60982 male   16 41 white   
 45000 66.07183 female 16 43 white   
 14000 65.85618 male   12 23 white   
 25000 66.39505 female 14 37 white   
 40000 71.84415 male   12 42 white   
 34000 68.89893 male   12 35 white   
 40000 65.75578 male   12 34 white   
 35000 69.44946 male   14 28 white   
 12000 60.15630 female 12 51 hispanic
 30000 64.56873 female 17 43 white   
 23000 61.58792 female 12 40 white   
  2000 67.07979 female 12 30 white   
 20000 67.21214 male   14 25 white   
 10000 67.83994 female  9 62 black   
 60000 65.61768 female 16 43 black   
 12000 74.24347 male   16 41 black   
 25000 65.47813 female 18 61 white   
 22000 62.88988 female 14 73 black   
  8000 68.10779 male   17 25 white   
  2000 66.39806 female 16 21 white   
 18600 65.49678 female 16 26 white   
 20000 61.54580 female 14 20 white   
100000 72.62916 male   18 37 white   
 50000 61.89058 female 15 40 white   
 27000 69.81381 male   12 42 white   
  1000 58.27594 female 12 58 black   
 18000 68.37147 male   12 20 white   
 17000 67.35070 female 14 23 white   
 10000 63.83751 female 12 74 white   
 14000 70.36153 male   14 35 white   
  7200 72.49588 male   14 66 white   
 33000 63.19196 female 17 39 white   
 23000 66.26428 male   12 34 white   
 10000 64.88321 female 12 41 white   
 22000 60.58631 male   12 24 white   
 13000 60.81704 female 12 19 hispanic
 33000 67.20153 female 12 31 white   
 36000 73.11522 male   12 36 white   
 10000 70.52104 female 14 32 black   
  6000 64.49766 female 12 60 white   
 12000 66.64803 female 12 43 white   
 10000 62.07149 female 11 47 white   
 21000 67.40431 female 12 45 white   
 26000 68.69590 male   12 32 white   
 22000 66.06555 female 12 50 black   
 23000 66.18482 female 15 54 black   
 20000 66.44449 male   15 24 white   
 10000 65.50939 female 13 38 white   
 15000 64.06472 female 12 71 white   
  7000 72.11810 male   14 24 black   
 15000 64.13901 female 12 38 white   
 26000 64.75170 female 16 34 white   
 10000 72.20326 male   11 31 white   
  3000 71.00609 male   14 20 white   
 27000 64.19495 female 17 41 hispanic
 28000 63.65898 female 17 25 white   
 15000 66.86213 female 12 27 white   
 55000 75.18170 male   18 30 white   
 20000 65.86811 female 17 26 hispanic
  8500 67.14265 female 12 44 white   
 30000 70.58245 male   16 30 white   
 20000 68.35426 female 12 31 white   
 22000 70.44056 male    6 75 white   
 25000 66.50504 male   16 26 white   
  3000 70.50765 male    8 22 white   
 16000 62.66823 female 12 49 white   
 10000 61.04436 female 12 39 black   
 15000 64.86502 female 12 28 black   
 28000 67.24574 male   12 46 white   
 31500 64.93867 male   14 35 white   
 95000 65.68957 male   18 52 white   
 38000 66.51239 male   12 40 white   
 30000 74.21724 male   12 41 white   
 35900 73.80273 male   16 42 white   
 12000 66.28297 female 13 22 white   
 10000 68.93080 female 16 25 white   
 45000 66.09704 female 18 44 white   
 40000 74.36389 male   16 56 white   
 21500 72.37949 male   12 27 white   
 14000 65.61603 male   12 62 white   
 38000 66.52629 male   17 54 other   
  1000 64.73345 female 12 18 white   
 14000 66.37034 male   12 73 white   
 15000 64.52285 female 12 31 white   
 24000 67.82326 female 13 42 white   
  4500 64.15133 female 16 23 white   
 18000 64.35311 female 16 63 white   
 14000 63.33757 female 12 20 white   
 10000 68.97627 female 12 28 white   
  9500 67.44008 female 12 32 white   
 11000 62.95530 female 15 66 white   
 17000 66.85605 male   12 67 white   
  6000 59.82544 female 13 28 white   
  2500 61.85860 female 11 58 white   
 40000 72.44135 male   16 41 white   
 25000 66.60469 male   16 39 white   
 28000 66.39671 female 15 60 black   
 33000 66.38942 female 12 45 black   
  4000 59.57195 female  8 64 white   
  4100 65.33567 male   16 30 white   
 25000 68.58468 female 12 82 white   
 32000 71.66115 male   12 28 white   
 13000 63.93733 female  8 58 white   
  8000 64.48913 male    8 27 hispanic
 17000 64.24300 female 12 38 white   
 15000 66.79827 female 12 77 white   
 18000 65.99471 male   13 32 white   
 12000 73.07390 male   12 24 white   
  7000 73.82733 male    7 49 white   
  1200 64.83539 female 14 22 white   
 14000 63.11851 male   12 21 white   
 17000 63.43203 female 12 40 white   
 30000 66.34629 male   12 42 white   
 25000 69.91938 male   12 53 white   
 22000 65.86858 female 12 33 hispanic
 15000 63.44294 female 12 21 white   
 27000 73.07807 male   12 91 white   
 20000 63.01705 female 16 26 white   
  9000 68.92440 female 11 34 white   
 17000 73.14869 male   12 30 white   
  1800 67.79395 female 12 46 white   
 18000 63.62625 female 12 46 white   
 25000 62.57749 female 18 42 white   
 20000 70.10582 male   16 41 black   
 75000 64.31609 female 15 40 white   
  3500 65.75935 female 12 40 white   
 36000 60.85753 female 12 71 white   
 30000 72.05727 male   12 25 white   
 25000 64.55149 female 13 78 white   
  1000 64.24739 female 14 26 white   
 60000 68.02362 male   12 66 white   
 35000 73.89188 male   13 76 white   
  9000 66.63394 male   13 33 white   
 35000 69.86527 male    9 84 white   
 11000 66.11651 female 10 58 white   
 12000 71.34630 male   12 52 white   
 30000 70.88307 male   12 43 white   
 19000 71.47186 male    7 57 black   
  9000 74.41812 male    9 61 white   
 30000 74.69529 male   16 29 white   
  9000 71.92581 male   12 32 white   
 15000 65.85539 female 16 30 hispanic
  8000 64.52972 female 12 31 black   
 10000 66.49255 female 10 75 white   
 33000 71.70659 male   12 37 white   
 12000 60.09432 female 12 28 hispanic
 18000 63.97287 female 15 37 white   
 30000 64.81971 female 13 61 white   
 12500 64.71230 female 12 32 white   
 10000 61.97447 female 12 36 black   
  8500 68.29414 male   13 71 black   
 21000 73.48687 male   14 46 black   
 21000 63.93752 female 12 77 white   
 21000 68.21020 female 17 25 white   
  5000 66.10164 female 12 52 white   
 22000 71.22581 female 17 36 white   
 30000 72.70185 male   14 26 white   
123000 61.42908 female 14 58 white   
  8000 63.24714 female  9 45 white   
  2000 64.36810 female  9 25 white   
  7600 67.04141 female  6 62 white   
 10000 63.15251 female 12 25 white   
 35000 72.70741 male   12 48 white   
 15000 66.07587 female 16 57 white   
  4000 69.75553 female 12 22 white   
 16000 67.89105 male    8 24 white   
   200 66.86191 female 12 33 white   
 23000 74.10505 male   16 25 white   
 16000 63.60244 female 16 27 white   
  6000 60.20715 female 12 49 white   
   600 59.45893 female  9 46 white   
 28000 74.59877 male   16 34 other   
  4000 65.95294 female  8 66 white   
 15000 64.16955 male   12 35 white   
 15000 71.26410 male   12 25 white   
 25000 63.12568 female 12 30 white   
 15000 67.16629 female 12 26 white   
 40000 68.58090 male   11 44 white   
 30000 70.34383 male   11 51 white   
  5000 66.38894 female 12 29 white   
