Team,Year,Sport,Event,Medal
France,1952,Fencing,"Fencing Men's Foil, Individual",Gold
France,1956,Fencing,"Fencing Men's Foil, Individual",Gold
Germany,1988,Rowing,Rowing Women's Coxed Fours,Gold
Germany,1980,Rowing,Rowing Men's Coxed Eights,Gold
Germany,2004,Trampolining,Trampolining Women's Individual,Gold
Germany,1976,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Germany,1976,Gymnastics,Gymnastics Women's Horse Vault,Silver
Germany,1980,Athletics,Athletics Men's Long Jump,Gold
Italy,1956,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Germany,1960,Athletics,Athletics Women's 800 metres,Bronze
Italy,2012,Athletics,Athletics Men's Triple Jump,Bronze
Germany,1992,Rowing,Rowing Women's Coxed Eights,Bronze
Italy,1952,Athletics,Athletics Men's 50 kilometres Walk,Gold
Spain,1988,Sailing,Sailing Mixed One Person Dinghy,Gold
Spain,1984,Sailing,Sailing Mixed Two Person Dinghy,Gold
Spain,1992,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Italy,1984,Athletics,"Athletics Women's 1,500 metres",Gold
Germany,2008,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
Germany,1988,Athletics,Athletics Women's Marathon,Bronze
Great Britain,1992,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
France,1992,Judo,Judo Men's Heavyweight,Bronze
France,1996,Judo,Judo Men's Heavyweight,Gold
France,2000,Judo,Judo Men's Heavyweight,Gold
Germany,2016,Rowing,Rowing Men's Coxed Eights,Silver
France,1956,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Silver
Great Britain,2004,Sailing,Sailing Mixed Skiff,Bronze
Germany,1988,Athletics,Athletics Women's 100 metres,Bronze
Germany,1988,Athletics,Athletics Women's 200 metres,Bronze
Germany,1988,Athletics,Athletics Women's Long Jump,Silver
Germany,1992,Athletics,Athletics Women's Long Jump,Gold
Germany,2000,Athletics,Athletics Women's Long Jump,Gold
Germany,1972,Athletics,Athletics Men's Triple Jump,Silver
Germany,1976,Rowing,Rowing Men's Single Sculls,Bronze
Germany,1980,Rowing,Rowing Men's Double Sculls,Gold
Italy,1992,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Germany,1952,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Germany,1952,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Bronze
Germany,1980,Athletics,Athletics Women's Shot Put,Bronze
France,1972,Athletics,Athletics Men's 110 metres Hurdles,Silver
France,1976,Athletics,Athletics Men's 110 metres Hurdles,Gold
France,2004,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
France,2008,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
France,2008,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Germany,1996,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
France,2004,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Great Britain,2012,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
Great Britain,2016,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
France,1960,Rowing,Rowing Men's Coxed Fours,Silver
France,2000,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
France,1964,Athletics,Athletics Women's 800 metres,Silver
France,1988,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
France,1960,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
Germany,1980,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Spain,1996,Handball,Handball Men's Handball,Bronze
Germany,2000,Taekwondo,Taekwondo Men's Welterweight,Silver
Spain,2008,Sailing,Sailing Mixed Multihull,Gold
Spain,2012,Sailing,Sailing Women's Three Person Keelboat,Gold
Great Britain,1984,Judo,Judo Men's Extra-Lightweight,Bronze
Germany,1976,Athletics,Athletics Women's 200 metres,Gold
Germany,1980,Athletics,Athletics Women's 200 metres,Gold
Great Britain,2008,Cycling,Cycling Men's Keirin,Silver
Great Britain,1996,Athletics,Athletics Men's Triple Jump,Silver
Great Britain,2000,Athletics,Athletics Men's Triple Jump,Gold
Great Britain,1956,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Great Britain,2008,Rowing,Rowing Men's Coxed Eights,Silver
Great Britain,2012,Rowing,Rowing Men's Coxed Eights,Bronze
Germany,1972,Athletics,Athletics Women's 100 metres Hurdles,Gold
Germany,1972,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
Germany,1972,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Germany,1988,Rowing,Rowing Men's Coxed Fours,Gold
Great Britain,1988,Athletics,"Athletics Men's 1,500 metres",Silver
Great Britain,2016,Badminton,Badminton Men's Doubles,Bronze
France,2012,Judo,Judo Women's Half-Middleweight,Bronze
Germany,1972,Swimming,Swimming Women's 200 metres Individual Medley,Silver
Germany,1976,Swimming,Swimming Women's 100 metres Freestyle,Gold
Germany,1976,Swimming,Swimming Women's 200 metres Freestyle,Gold
Germany,1976,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Germany,1976,Swimming,Swimming Women's 100 metres Butterfly,Gold
Germany,2008,Cycling,Cycling Men's Team Sprint,Bronze
Germany,2012,Cycling,Cycling Men's Team Sprint,Bronze
Germany,2008,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Great Britain,2012,Athletics,Athletics Women's Heptathlon,Gold
Great Britain,2016,Athletics,Athletics Women's Heptathlon,Silver
France,2008,Taekwondo,Taekwondo Women's Welterweight,Bronze
France,1996,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Italy,2012,Fencing,"Fencing Women's Foil, Individual",Silver
Germany,1964,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
Spain,2004,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
Spain,2004,Cycling,Cycling Men's Keirin,Silver
Spain,2000,Taekwondo,Taekwondo Men's Flyweight,Silver
France,1992,Swimming,Swimming Men's 200 metres Butterfly,Bronze
Germany,1964,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
France,1996,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze
France,2000,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
France,2004,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
France,2012,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
Spain,1976,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Italy,1984,Athletics,Athletics Men's Long Jump,Bronze
Great Britain,2012,Boxing,Boxing Men's Welterweight,Silver
Great Britain,1972,Boxing,Boxing Men's Light-Flyweight,Bronze
France,1996,Cycling,Cycling Women's Points Race,Gold
Germany,2000,Rowing,Rowing Women's Quadruple Sculls,Gold
Italy,2012,Shooting,Shooting Men's Trap,Silver
Italy,1952,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Italy,1956,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Italy,2008,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
Italy,1956,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Germany,1988,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Great Britain,1992,Judo,Judo Women's Lightweight,Silver
Italy,1996,Shooting,Shooting Men's Skeet,Gold
Germany,1980,Boxing,Boxing Men's Heavyweight,Bronze
Great Britain,2012,Athletics,"Athletics Men's 5,000 metres",Gold
Great Britain,2012,Athletics,"Athletics Men's 10,000 metres",Gold
Great Britain,2016,Athletics,"Athletics Men's 5,000 metres",Gold
Great Britain,2016,Athletics,"Athletics Men's 10,000 metres",Gold
Great Britain,2000,Shooting,Shooting Men's Double Trap,Gold
Great Britain,2008,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
France,2012,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
Spain,2004,Athletics,Athletics Men's 20 kilometres Walk,Silver
Spain,1996,Judo,Judo Women's Lightweight,Bronze
Spain,2000,Judo,Judo Women's Lightweight,Gold
Spain,2004,Sailing,Sailing Mixed Skiff,Gold
Spain,2008,Sailing,Sailing Mixed Skiff,Silver
Italy,1976,Archery,Archery Men's Individual,Bronze
Italy,1980,Archery,Archery Men's Individual,Bronze
France,2000,Fencing,"Fencing Men's Foil, Team",Gold
Italy,1976,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Bronze
Italy,1992,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Italy,2000,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Spain,2004,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Spain,2004,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Great Britain,1960,Diving,Diving Women's Springboard,Bronze
Germany,1992,Table Tennis,Table Tennis Men's Doubles,Silver
Italy,2016,Fencing,"Fencing Women's epee, Individual",Silver
Italy,2016,Fencing,"Fencing Men's epee, Team",Silver
Germany,1988,Athletics,Athletics Women's 400 metres Hurdles,Bronze
Germany,1992,Cycling,Cycling Men's Sprint,Gold
Germany,1996,Cycling,Cycling Men's Sprint,Gold
Germany,2000,Cycling,Cycling Men's Sprint,Bronze
Germany,2000,Cycling,Cycling Men's Keirin,Bronze
Germany,2004,Cycling,Cycling Men's Team Sprint,Gold
Germany,2004,Fencing,"Fencing Men's epee, Team",Bronze
France,2004,Swimming,Swimming Women's 200 metres Freestyle,Bronze
Italy,2008,Swimming,Swimming Women's 800 metres Freestyle,Silver
Germany,1980,Boxing,Boxing Men's Featherweight,Gold
Great Britain,1968,Boxing,Boxing Men's Middleweight,Gold
Italy,2000,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Italy,2000,Swimming,Swimming Men's 200 metres Breaststroke,Gold
Germany,2008,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Germany,2008,Diving,Diving Women's Synchronized Springboard,Bronze
Germany,1980,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Germany,1988,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Germany,1988,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Germany,1988,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Germany,1992,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Germany,1996,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Germany,1996,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Germany,2000,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Germany,2000,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Germany,2004,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Germany,2004,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Great Britain,1960,Boxing,Boxing Men's Light-Middleweight,Bronze
Germany,1996,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Germany,1988,Sailing,Sailing Mixed Three Person Keelboat,Gold
Germany,1996,Sailing,Sailing Mixed Three Person Keelboat,Gold
France,1976,Fencing,"Fencing Men's Foil, Team",Bronze
Germany,1988,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
France,1996,Fencing,"Fencing Women's epee, Individual",Gold
France,2000,Fencing,"Fencing Women's epee, Individual",Bronze
France,2004,Fencing,"Fencing Women's epee, Individual",Silver
France,1992,Judo,Judo Women's Half-Middleweight,Gold
Germany,1972,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Great Britain,2004,Rowing,Rowing Women's Quadruple Sculls,Silver
Great Britain,2008,Rowing,Rowing Women's Quadruple Sculls,Silver
Great Britain,2008,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
Great Britain,2016,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
France,2008,Sailing,Sailing Mixed One Person Dinghy,Bronze
France,1992,Archery,Archery Men's Individual,Gold
Italy,2012,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
Germany,1968,Rowing,Rowing Men's Coxless Fours,Gold
Germany,1972,Rowing,Rowing Men's Coxless Fours,Gold
Italy,2012,Judo,Judo Women's Half-Lightweight,Bronze
Germany,1992,Athletics,Athletics Women's Javelin Throw,Bronze
Germany,1988,Rowing,Rowing Women's Quadruple Sculls,Gold
Great Britain,1976,Athletics,"Athletics Men's 10,000 metres",Bronze
Great Britain,1996,Rowing,Rowing Men's Coxless Fours,Bronze
Great Britain,1976,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Italy,2012,Archery,Archery Men's Team,Gold
Germany,1992,Rowing,Rowing Women's Coxless Fours,Bronze
Germany,1992,Athletics,Athletics Men's Marathon,Bronze
Germany,1980,Athletics,Athletics Men's High Jump,Bronze
Germany,1996,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
Germany,1972,Athletics,Athletics Men's 20 kilometres Walk,Gold
Germany,1976,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Germany,1988,Swimming,Swimming Women's 200 metres Freestyle,Gold
Germany,1988,Swimming,Swimming Women's 400 metres Freestyle,Silver
Germany,1988,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Germany,2008,Triathlon,Triathlon Men's Olympic Distance,Gold
Germany,1980,Rowing,Rowing Women's Coxed Fours,Gold
Germany,2012,Taekwondo,Taekwondo Women's Welterweight,Bronze
Great Britain,2012,Cycling,Cycling Men's Individual Time Trial,Bronze
Great Britain,2016,Cycling,Cycling Men's Individual Time Trial,Bronze
Germany,1972,Athletics,Athletics Women's Javelin Throw,Gold
Germany,1976,Athletics,Athletics Women's Javelin Throw,Gold
Spain,2008,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
Germany,1964,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Germany,1964,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Spain,2000,Cycling,"Cycling Women's Mountainbike, Cross-Country",Bronze
Germany,1964,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Germany,1992,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Germany,2004,Cycling,Cycling Men's Points Race,Bronze
Great Britain,2004,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Germany,1956,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Germany,2000,Sailing,Sailing Mixed Multihull,Bronze
France,1996,Judo,Judo Men's Lightweight,Bronze
Italy,1960,Cycling,Cycling Men's Sprint,Gold
Italy,1960,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
France,1996,Athletics,Athletics Men's Pole Vault,Gold
Italy,2004,Archery,Archery Men's Individual,Gold
Italy,2004,Rowing,Rowing Men's Double Sculls,Bronze
Italy,1980,Judo,Judo Men's Lightweight,Gold
Italy,1984,Judo,Judo Men's Lightweight,Silver
France,2000,Cycling,Cycling Men's Team Sprint,Gold
Germany,1988,Athletics,Athletics Women's Discus Throw,Silver
France,1952,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
France,1976,Fencing,"Fencing Women's Foil, Team",Silver
Italy,1968,Shooting,Shooting Mixed Skeet,Silver
Spain,1992,Athletics,Athletics Men's Pole Vault,Bronze
Spain,2012,Taekwondo,Taekwondo Men's Welterweight,Silver
Great Britain,1956,Boxing,Boxing Men's Welterweight,Bronze
France,2016,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
France,1956,Fencing,"Fencing Women's Foil, Individual",Bronze
Italy,2016,Fencing,"Fencing Men's Foil, Individual",Gold
Italy,1960,Cycling,Cycling Men's Sprint,Bronze
France,1992,Table Tennis,Table Tennis Men's Singles,Silver
Germany,1980,Athletics,Athletics Men's 50 kilometres Walk,Gold
Germany,1988,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Germany,1980,Swimming,Swimming Women's 200 metres Butterfly,Gold
Germany,2000,Rowing,Rowing Men's Quadruple Sculls,Bronze
Germany,1952,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Italy,2000,Shooting,Shooting Women's Double Trap,Silver
Germany,1968,Rowing,Rowing Men's Coxed Fours,Silver
France,2000,Taekwondo,Taekwondo Men's Heavyweight,Bronze
France,2004,Taekwondo,Taekwondo Men's Heavyweight,Bronze
Italy,1968,Athletics,Athletics Men's Triple Jump,Bronze
Germany,1972,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
Germany,1976,Cycling,Cycling Men's Sprint,Bronze
Germany,1980,Swimming,Swimming Women's 100 metres Breaststroke,Gold
Germany,1980,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
France,1956,Cycling,"Cycling Men's Road Race, Individual",Silver
Great Britain,2012,Judo,Judo Women's Half-Heavyweight,Silver
Italy,2004,Athletics,Athletics Men's Pole Vault,Bronze
Germany,1960,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Germany,2004,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Germany,2008,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Germany,2008,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Great Britain,1988,Swimming,Swimming Men's 200 metres Breaststroke,Silver
Great Britain,1992,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
France,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Germany,1972,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Italy,1980,Shooting,Shooting Mixed Trap,Gold
Italy,1984,Shooting,Shooting Mixed Trap,Gold
Italy,1996,Judo,Judo Men's Extra-Lightweight,Silver
Italy,2000,Judo,Judo Men's Half-Lightweight,Bronze
France,1996,Athletics,Athletics Women's 100 metres Hurdles,Bronze
France,1968,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Italy,2016,Judo,Judo Women's Half-Lightweight,Silver
Germany,1964,Judo,Judo Men's Open Class,Bronze
Great Britain,2004,Sailing,Sailing Men's Two Person Dinghy,Silver
Great Britain,2008,Sailing,Sailing Men's Two Person Dinghy,Silver
Great Britain,2012,Rowing,Rowing Women's Coxless Pairs,Gold
Great Britain,2016,Rowing,Rowing Women's Coxless Pairs,Gold
Germany,1980,Gymnastics,Gymnastics Women's Individual All-Around,Silver
Germany,1980,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Germany,1980,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Germany,1980,Gymnastics,Gymnastics Women's Uneven Bars,Gold
France,2012,Judo,Judo Women's Half-Lightweight,Bronze
Germany,1960,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
France,2012,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
Great Britain,1980,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Great Britain,1984,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Belgium,1996,Sailing,Sailing Men's One Person Dinghy,Silver
Belgium,1964,Cycling,"Cycling Men's Road Race, Individual",Bronze
Germany,1996,Tennis,Tennis Men's Doubles,Bronze
Belgium,1968,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Spain,2012,Triathlon,Triathlon Men's Olympic Distance,Silver
France,2004,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze
France,1964,Boxing,Boxing Men's Light-Middleweight,Silver
Spain,2012,Taekwondo,Taekwondo Men's Flyweight,Gold
Spain,2016,Taekwondo,Taekwondo Men's Featherweight,Bronze
Great Britain,1980,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Great Britain,2008,Sailing,Sailing Men's One Person Dinghy,Gold
Great Britain,1952,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
Great Britain,1972,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Italy,1980,Sailing,Sailing Mixed Two Person Keelboat,Bronze
Italy,1984,Sailing,Sailing Mixed Two Person Keelboat,Bronze
Spain,1976,Sailing,Sailing Mixed Two Person Dinghy,Silver
France,2000,Fencing,"Fencing Men's Sabre, Individual",Silver
France,2000,Fencing,"Fencing Men's Sabre, Team",Silver
Great Britain,2012,Athletics,Athletics Men's High Jump,Bronze
Germany,1972,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Germany,1980,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Germany,2000,Judo,Judo Women's Extra-Lightweight,Bronze
Germany,1992,Tennis,Tennis Women's Singles,Silver
France,2012,Taekwondo,Taekwondo Women's Heavyweight,Silver
Great Britain,2016,Rowing,Rowing Women's Double Sculls,Silver
Italy,2008,Fencing,"Fencing Women's Foil, Individual",Bronze
Italy,2008,Fencing,"Fencing Women's Foil, Team",Bronze
Germany,1964,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Germany,1964,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Germany,1968,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Great Britain,2012,Rowing,Rowing Men's Coxless Fours,Gold
Great Britain,2016,Rowing,Rowing Men's Coxless Fours,Gold
Italy,2012,Swimming,Swimming Women's 10 kilometres Open Water,Bronze
Germany,2008,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Great Britain,1956,Swimming,Swimming Women's 100 metres Backstroke,Gold
Germany,1960,Athletics,"Athletics Men's 5,000 metres",Silver
Germany,1960,Athletics,"Athletics Men's 10,000 metres",Silver
Germany,2012,Rowing,Rowing Men's Quadruple Sculls,Gold
Belgium,1952,Cycling,"Cycling Men's Road Race, Individual",Silver
Belgium,1952,Cycling,"Cycling Men's Road Race, Team",Gold
Germany,2016,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Germany,2016,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Great Britain,1984,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Germany,2016,Rowing,Rowing Men's Quadruple Sculls,Gold
France,2016,Fencing,"Fencing Men's epee, Individual",Bronze
Germany,1968,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Germany,1976,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Germany,1972,Weightlifting,Weightlifting Men's Heavyweight,Bronze
Spain,1988,Shooting,Shooting Mixed Skeet,Bronze
Italy,2008,Cycling,"Cycling Women's Road Race, Individual",Bronze
France,2008,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
France,2008,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
France,2012,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
Spain,1992,Sailing,Sailing Women's Two Person Dinghy,Gold
Italy,1984,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver
France,2000,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
Germany,1960,Diving,Diving Women's Springboard,Gold
Germany,1960,Diving,Diving Women's Platform,Gold
Germany,1964,Diving,Diving Women's Springboard,Gold
Germany,1964,Diving,Diving Women's Platform,Silver
Germany,1972,Rowing,Rowing Men's Single Sculls,Bronze
Germany,1972,Rowing,Rowing Men's Coxed Pairs,Gold
Great Britain,1992,Athletics,Athletics Women's 400 metres Hurdles,Gold
Germany,1972,Rowing,Rowing Men's Coxed Fours,Silver
Germany,1980,Diving,Diving Women's Springboard,Bronze
Great Britain,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Great Britain,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
France,2004,Fencing,"Fencing Men's Foil, Individual",Gold
France,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Germany,1956,Athletics,Athletics Men's 400 metres,Silver
Germany,2000,Tennis,Tennis Men's Singles,Silver
Germany,1952,Diving,Diving Men's Platform,Bronze
Germany,2000,Rowing,Rowing Men's Single Sculls,Bronze
Germany,1992,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Belgium,1984,Rowing,Rowing Women's Single Sculls,Bronze
Germany,1956,Cycling,"Cycling Men's Road Race, Team",Bronze
Germany,1972,Volleyball,Volleyball Men's Volleyball,Silver
Germany,1996,Judo,Judo Women's Heavyweight,Bronze
Germany,2016,Hockey,Hockey Women's Hockey,Bronze
Germany,1992,Rowing,Rowing Men's Quadruple Sculls,Gold
Germany,1996,Rowing,Rowing Men's Quadruple Sculls,Gold
Great Britain,1988,Archery,Archery Men's Team,Bronze
Great Britain,1992,Archery,Archery Men's Team,Bronze
Germany,2008,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
Germany,2012,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Germany,2016,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Germany,2016,Table Tennis,Table Tennis Women's Team,Silver
Germany,1980,Athletics,Athletics Men's Javelin Throw,Bronze
Germany,1956,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Great Britain,1984,Swimming,Swimming Women's 400 metres Freestyle,Silver
Great Britain,1984,Swimming,Swimming Women's 800 metres Freestyle,Bronze
France,2004,Rowing,Rowing Men's Double Sculls,Gold
Great Britain,2004,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
France,2012,Taekwondo,Taekwondo Women's Featherweight,Bronze
Great Britain,2000,Boxing,Boxing Men's Super-Heavyweight,Gold
Germany,2016,Athletics,Athletics Men's Discus Throw,Gold
Germany,2012,Athletics,Athletics Men's Discus Throw,Gold
Germany,1960,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Germany,1980,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Silver
Germany,2016,Boxing,Boxing Men's Light-Welterweight,Bronze
Germany,1960,Athletics,Athletics Men's 100 metres,Gold
Germany,1992,Swimming,Swimming Women's 400 metres Freestyle,Gold
Germany,1992,Swimming,Swimming Women's 200 metres Backstroke,Silver
Germany,1996,Swimming,Swimming Women's 200 metres Freestyle,Bronze
Germany,1996,Swimming,Swimming Women's 400 metres Freestyle,Silver
Germany,1996,Swimming,Swimming Women's 800 metres Freestyle,Silver
Germany,2008,Diving,Diving Men's Synchronized Platform,Silver
Germany,2016,Diving,Diving Men's Springboard,Bronze
Great Britain,2004,Cycling,Cycling Men's Madison,Bronze
Great Britain,1984,Athletics,Athletics Women's Long Jump,Bronze
Great Britain,2012,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Bronze
Great Britain,2016,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Gold
Great Britain,2016,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver
Great Britain,1964,Athletics,Athletics Men's Marathon,Silver
France,1984,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
Germany,2008,Fencing,"Fencing Women's epee, Individual",Gold
Germany,2012,Fencing,"Fencing Women's epee, Individual",Silver
Germany,1952,Boxing,Boxing Men's Welterweight,Bronze
Germany,2012,Athletics,Athletics Women's Hammer Throw,Bronze
Germany,2016,Sailing,Sailing Men's Skiff,Bronze
Germany,1980,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Silver
Germany,1960,Athletics,Athletics Women's 200 metres,Silver
Germany,1980,Handball,Handball Women's Handball,Bronze
Germany,1952,Rowing,Rowing Men's Coxed Pairs,Silver
Germany,1972,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Germany,1980,Judo,Judo Men's Half-Middleweight,Bronze
Belgium,2008,Athletics,Athletics Women's High Jump,Gold
Germany,1988,Athletics,Athletics Women's Discus Throw,Gold
Germany,1976,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
Germany,1976,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
Germany,1980,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
