CAMBORNE                                   © Crown Copyright  Met Office 2015,,,,,,,,,,,,,,
NGR = 1627E 4067N,,,,,,,,,,,,,,
Altitude = 87 metres,,,,,,,,,,,,,,
Latitude = 50:22N Longitude = 05:33W,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
24/05/1987,10.2,4.2,5.1,16,Moderate,32,94,6,1000,1013,90,E,90,E
25/05/1987,12.6,1.7,10.7,13,Moderate,35,86,6,2500,1016,170,S,160,SSE
26/05/1987,10.4,7.5,0,7,Light,22,95,7,1500,1015,40,NE,90,E
27/05/1987,11.3,0.1,0,9,Light,21,98,8,500,1017,320,NW,360,N
28/05/1987,12.1,0,5.5,8,Light,19,96,6,1600,1023,290,WNW,280,W
29/05/1987,12.0,tr,0,7,Light,20,99,7,1500,1026,210,SSW,210,SSW
30/05/1987,11.6,7.1,0,11,Moderate,28,99,7,900,1021,200,SSW,200,SSW
31/05/1987,12.7,0,8.6,9,Light,19,98,7,1400,1023,280,W,280,W
01/06/1987,12.7,9,0.1,6,Light,16,94,7,1900,1024,280,W,280,W
02/06/1987,12.8,3.9,1.4,13,Moderate,29,99,8,1100,1015,170,S,180,S
03/06/1987,13.5,3.1,4.1,12,Moderate,25,98,7,1300,1008,220,SW,240,WSW
04/06/1987,13.5,0.1,6.6,6,Light,14,96,6,1600,1008,290,WNW,280,W
05/06/1987,11.9,25.9,0,15,Moderate,38,97,8,1200,1005,190,S,200,SSW
06/06/1987,12.4,0.2,8.1,17,Fresh,40,90,6,2200,1005,240,WSW,240,WSW
07/06/1987,11.2,2.9,9.6,10,Light,21,91,6,2800,1009,310,NW,260,W
08/06/1987,10.2,0.4,0.3,12,Moderate,24,92,7,2500,1010,330,NNW,330,NNW
09/06/1987,10.3,1,9.9,6,Light,16,86,6,4100,1007,330,NNW,320,NW
10/06/1987,9.3,tr,8.2,3,Light,10,90,5,5300,1008,190,S,290,WNW
11/06/1987,10.8,1.3,6.4,3,Light,n/a,93,6,3900,1015,220,SW,300,WNW
12/06/1987,10.3,0,9.3,4,Light,11,89,4,3000,1020,190,S,310,NW
13/06/1987,10.4,0.8,10.8,7,Light,15,83,4,4300,1018,10,N,10,N
14/06/1987,9.8,11.1,7.1,5,Light,17,91,7,4300,1013,190,S,160,SSE
15/06/1987,10.4,0.2,2.1,8,Light,20,92,6,2100,1012,90,E,360,N
16/06/1987,11.8,2,7.9,8,Light,19,87,6,2500,1021,290,WNW,270,W
17/06/1987,12.7,0.2,1.1,10,Light,19,95,8,1700,1020,290,WNW,290,WNW
18/06/1987,12.5,9,0,12,Moderate,31,99,8,900,1014,260,W,190,S
19/06/1987,12.4,tr,8.3,13,Moderate,29,95,6,1300,1005,330,NNW,270,W
20/06/1987,12.4,tr,1.5,7,Light,18,98,6,2100,1015,280,W,280,W
21/06/1987,13.7,2.2,10.2,6,Light,14,95,5,2100,1019,280,W,290,WNW
22/06/1987,13.6,0.8,0,11,Moderate,26,99,8,1000,1022,270,W,270,W
23/06/1987,14.4,0.7,1.2,10,Light,20,99,8,1100,1024,270,W,270,W
24/06/1987,14.3,tr,2.5,7,Light,15,99,8,400,1023,290,WNW,280,W
25/06/1987,14.3,3.2,0.1,8,Light,20,98,8,1300,1018,220,SW,240,WSW
26/06/1987,14.0,10.7,0.6,10,Light,24,100,8,1400,1015,270,W,180,S
27/06/1987,15.2,0.4,0,7,Light,15,100,8,200,1016,230,SW,200,SSW
28/06/1987,15.8,0.5,0,9,Light,21,100,8,0,1021,190,S,190,S
29/06/1987,16.3,0.2,2.3,6,Light,15,99,7,1000,1022,180,S,170,S
30/06/1987,14.2,tr,3.1,6,Light,15,96,6,2700,1024,280,W,270,W
01/07/1987,12.7,0,13.9,5,Light,12,97,3,3600,1025,320,NW,290,WNW
02/07/1987,13.4,0,12,4,Light,12,97,3,4300,1026,20,NNE,360,N
03/07/1987,15.3,0,15,6,Light,19,91,3,2500,1026,110,ESE,110,ESE
04/07/1987,16.6,0,15.4,4,Light,13,73,3,1800,1026,90,E,90,E
05/07/1987,17.8,0,15.1,5,Light,15,69,3,1800,1022,70,ENE,90,E
06/07/1987,16.0,0,12.2,6,Light,15,95,3,900,1020,330,NNW,340,NNW
07/07/1987,16.1,0,6.5,7,Light,16,95,5,2300,1021,360,N,360,N
08/07/1987,15.3,0,15.2,5,Light,13,90,2,4600,1024,350,N,360,N
09/07/1987,13.7,0,1.6,4,Light,12,93,6,4900,1025,200,SSW,200,SSW
10/07/1987,18.2,0.1,11.8,7,Light,16,93,4,3900,1022,180,S,180,S
11/07/1987,16.8,0,9.7,10,Light,19,99,5,2400,1017,290,WNW,290,WNW
12/07/1987,16.0,0,9.7,6,Light,14,94,4,3600,1020,290,WNW,300,WNW
13/07/1987,15.7,9.4,11.4,3,Light,9,94,4,2800,1019,350,N,150,SSE
14/07/1987,16.7,3,3,3,Light,n/a,98,7,700,1013,290,WNW,NA,#N/A
15/07/1987,16.8,5.6,6.4,10,Light,28,97,7,2400,1007,190,S,180,S
16/07/1987,15.3,1.4,4.9,6,Light,18,95,6,3500,1003,210,SSW,230,SW
17/07/1987,13.9,3.5,4.5,5,Light,n/a,95,7,3000,999,320,NW,330,NNW
18/07/1987,14.0,13.3,6.1,6,Light,n/a,96,7,2600,1002,260,W,260,W
19/07/1987,14.3,1.4,1,12,Moderate,28,99,8,1000,1001,310,NW,340,NNW
20/07/1987,15.4,tr,12.9,12,Moderate,24,93,4,1000,1015,350,N,350,N
21/07/1987,15.0,tr,5,10,Light,19,97,6,1700,1020,350,N,10,N
22/07/1987,15.6,0,6.8,8,Light,20,95,5,900,1021,10,N,20,NNE
23/07/1987,15.9,0,5.6,7,Light,17,98,6,600,1022,360,N,360,N
24/07/1987,15.1,tr,0.7,8,Light,17,97,7,1100,1023,360,N,10,N
25/07/1987,14.9,0,9.6,10,Light,23,88,6,4100,1025,360,N,360,N
26/07/1987,15.4,tr,2.9,10,Light,21,97,6,2600,1025,320,NW,280,W
27/07/1987,16.6,tr,1.3,12,Moderate,23,98,7,1300,1022,290,WNW,310,NW
28/07/1987,16.7,0.1,0.5,10,Light,20,98,7,1600,1021,310,NW,290,WNW
29/07/1987,16.5,0,5.9,12,Moderate,25,100,7,1800,1016,330,NNW,280,W
30/07/1987,15.8,tr,2.6,11,Moderate,22,96,6,3400,1021,350,N,360,N
31/07/1987,16.9,tr,1,11,Moderate,24,100,8,500,1022,290,WNW,290,WNW
01/08/1987,16.8,1.1,7.1,12,Moderate,28,98,6,2100,1021,270,W,NA,#N/A
02/08/1987,16.7,2.2,4.3,12,Moderate,30,98,8,700,1017,270,W,270,W
03/08/1987,15.8,0,8.9,10,Light,26,100,6,2500,1016,260,W,260,W
04/08/1987,14.4,0,13.3,6,Light,19,95,4,6300,1023,360,N,10,N
05/08/1987,13.9,0,12.9,6,Light,16,89,2,6200,1025,20,NNE,10,N
06/08/1987,14.0,1.8,11.9,7,Light,19,80,4,4700,1018,10,N,10,N
07/08/1987,13.8,0,2.2,3,Light,n/a,93,7,3900,1014,350,N,30,NNE
08/08/1987,12.6,0.1,0.2,4,Light,13,93,5,3800,1017,340,NNW,340,NNW
09/08/1987,14.5,0,9.8,7,Light,18,91,5,2800,1018,320,NW,320,NW
10/08/1987,14.2,1.5,12.5,5,Light,16,92,4,4200,1020,200,SSW,270,W
11/08/1987,15.0,4,0,11,Moderate,28,97,8,1500,1017,180,S,180,S
12/08/1987,16.1,1,8.8,7,Light,20,99,6,3000,1016,190,S,220,SW
13/08/1987,17.8,0.5,1.3,10,Light,23,100,7,1700,1014,210,SSW,220,SW
14/08/1987,16.0,0,11.3,6,Light,15,98,4,4100,1018,270,W,270,W
15/08/1987,16.6,0,12.6,4,Light,n/a,98,2,4900,1021,170,S,180,S
16/08/1987,16.9,tr,8.9,4,Light,13,95,4,2600,1018,140,SE,360,N
17/08/1987,17.9,0.5,8.7,5,Light,17,97,6,2900,1015,290,WNW,290,WNW
18/08/1987,17.9,0.2,3.6,7,Light,19,99,7,3100,1018,260,W,280,W
19/08/1987,17.9,0.4,1.9,8,Light,20,99,7,1800,1019,170,S,190,S
20/08/1987,18.6,tr,4.5,13,Moderate,29,97,7,1300,1015,190,S,180,S
21/08/1987,18.9,7.5,0.1,7,Light,19,97,8,1000,1013,180,S,180,S
22/08/1987,17.4,0,3.4,5,Light,15,98,7,1900,1010,300,WNW,310,NW
23/08/1987,15.6,1.1,12.3,8,Light,21,91,4,4200,1010,350,N,360,N
24/08/1987,16.0,tr,3.2,10,Light,24,90,6,2000,1013,340,NNW,340,NNW
25/08/1987,15.9,5.5,11.9,10,Light,26,90,5,3000,1014,320,NW,300,WNW
26/08/1987,14.2,2.7,3.4,15,Moderate,31,94,6,3000,1011,350,N,260,W
27/08/1987,14.7,0,5.7,13,Moderate,35,87,6,2700,1021,350,N,360,N
28/08/1987,13.9,0,8.9,5,Light,16,98,4,3400,1028,280,W,270,W
29/08/1987,14.8,tr,9,6,Light,17,94,5,3100,1026,340,NNW,350,N
30/08/1987,16.3,0,7.7,9,Light,32,99,4,1200,1022,90,E,90,E
31/08/1987,16.5,3.9,3.6,21,Fresh,39,91,5,500,1015,100,E,100,E
01/09/1987,16.7,0.2,0,4,Light,n/a,100,8,500,1014,320,NW,110,ESE
02/09/1987,17.3,3.5,2.5,6,Light,21,100,8,700,1017,190,S,NA,#N/A
03/09/1987,17.6,0.1,7.8,12,Moderate,27,98,6,1600,1013,180,S,180,S
04/09/1987,15.4,13.8,8.1,11,Moderate,30,87,6,2700,1017,200,SSW,200,SSW
05/09/1987,15.7,0.3,8.9,13,Moderate,78,97,5,2100,1010,270,W,220,SW
06/09/1987,15.2,11.8,0,13,Moderate,35,97,7,1800,1015,210,SSW,170,S
07/09/1987,15.3,0.2,0.1,3,Light,n/a,98,7,2000,1019,250,WSW,320,NW
08/09/1987,13.9,1.8,2.2,2,Light,n/a,99,6,3300,1022,170,S,310,NW
09/09/1987,13.9,tr,3.8,10,Light,29,98,6,3700,1018,190,S,200,SSW
10/09/1987,15.2,tr,8.2,10,Light,24,89,6,4000,1017,240,WSW,260,W
11/09/1987,16.2,1.9,0.3,17,Fresh,46,98,7,2000,1011,180,S,170,S
12/09/1987,16.5,6,0,12,Moderate,38,98,8,1400,1008,230,SW,210,SSW
13/09/1987,14.3,0.3,1.7,2,Light,n/a,98,7,2500,1012,320,NW,320,NW
14/09/1987,14.3,tr,9.7,8,Light,25,94,4,3900,1019,200,SSW,260,W
15/09/1987,14.2,1,1.2,7,Light,20,94,7,3500,1023,170,S,170,S
16/09/1987,15.1,0.4,0.1,10,Light,22,97,8,1700,1020,100,E,100,E
17/09/1987,16.6,0.4,0.1,10,Light,23,100,8,500,1018,210,SSW,250,WSW
18/09/1987,15.5,2.5,9.1,7,Light,19,99,7,3100,1025,350,N,360,N
19/09/1987,16.3,0.3,4,10,Light,31,95,6,2000,1018,110,ESE,110,ESE
20/09/1987,15.9,0.1,0,8,Light,21,100,6,200,1013,210,SSW,NA,#N/A
21/09/1987,17.2,3.8,0.5,16,Moderate,33,97,8,700,1008,180,S,180,S
22/09/1987,14.2,4.2,8.8,9,Light,26,92,3,3200,1013,200,SSW,200,SSW
23/09/1987,14.6,2.9,4.9,10,Light,26,90,5,3100,1008,220,SW,220,SW
24/09/1987,13.6,0.2,8.7,9,Light,25,89,3,4500,1009,250,WSW,280,W
25/09/1987,10.6,0.2,9.6,6,Light,17,93,3,6000,1010,350,N,350,N
26/09/1987,10.2,0.1,8.7,7,Light,26,86,3,5500,1015,50,NE,360,N
27/09/1987,11.3,0,3.7,4,Light,13,89,5,4600,1025,60,ENE,350,N
28/09/1987,10.6,tr,0.4,2,Light,n/a,78,6,3400,1028,90,E,350,N
29/09/1987,11.2,0,8.6,9,Light,25,81,2,1700,1027,90,E,90,E
30/09/1987,11.8,0,3.7,10,Light,30,88,6,2400,1020,120,ESE,120,ESE
01/10/1987,12.7,0,8.2,9,Light,24,87,4,1700,1019,110,ESE,120,ESE
02/10/1987,13.8,12.2,0.3,13,Moderate,32,94,6,400,1015,90,E,90,E
03/10/1987,14.5,14,0,14,Moderate,37,99,8,200,1015,80,E,90,E
04/10/1987,15.0,tr,6.5,13,Moderate,28,98,5,1500,1009,140,SE,110,ESE
05/10/1987,15.3,6.3,4.8,14,Moderate,35,94,6,2100,1001,140,SE,170,S
06/10/1987,12.5,20.5,7.3,13,Moderate,41,93,6,2800,1001,270,W,300,WNW
07/10/1987,12.3,12.8,1.4,17,Fresh,44,99,7,1500,991,220,SW,NA,#N/A
08/10/1987,10.8,7,5.9,21,Fresh,52,89,6,2000,998,290,WNW,290,WNW
09/10/1987,10.7,11.4,0,14,Moderate,34,91,8,1800,998,200,SSW,190,S
10/10/1987,9.4,5.2,6.3,13,Moderate,32,76,6,3900,996,330,NNW,310,NW
11/10/1987,8.9,2.1,2.9,8,Light,19,91,6,4700,1001,170,S,170,S
12/10/1987,11.2,2.2,5.3,9,Light,23,95,4,3600,1004,220,SW,210,SSW
13/10/1987,10.4,4.8,7.1,13,Moderate,34,93,4,2600,1001,230,SW,260,W
14/10/1987,8.9,14.9,0,13,Moderate,36,95,6,2000,994,150,SSE,110,ESE
15/10/1987,8.5,30.2,0,11,Moderate,53,93,7,4000,981,40,NE,NA,#N/A
16/10/1987,9.7,0.6,7.4,16,Moderate,59,97,5,3600,989,220,SW,320,NW
17/10/1987,10.8,15.7,5.6,18,Fresh,55,95,6,3100,1008,170,S,180,S
18/10/1987,12.8,36.4,0,21,Fresh,54,98,8,1200,1003,180,S,180,S
19/10/1987,12.9,12.3,0.2,12,Moderate,36,99,8,1200,1005,160,SSE,170,S
20/10/1987,11.5,1.3,4.4,4,Light,14,99,5,1900,1005,160,SSE,NA,#N/A
21/10/1987,10.3,0.6,5.1,10,Light,29,96,6,3900,1007,290,WNW,290,WNW
22/10/1987,9.2,0,7.7,n/a,n/a,n/a,89,3,5100,1017,190,S,220,SW
23/10/1987,7.9,0,9.1,4,Light,15,84,2,5700,1021,50,NE,10,N
24/10/1987,7.3,0,9.2,3,Light,n/a,79,1,4800,1026,80,E,80,E
25/10/1987,8.0,0,8.6,6,Light,19,93,2,2000,1025,140,SE,180,S
26/10/1987,9.7,6.8,0,9,Light,19,92,6,1100,1018,170,S,170,S
27/10/1987,10.5,7.4,0,9,Light,29,96,7,1600,1010,310,NW,320,NW
28/10/1987,8.5,tr,7.8,8,Light,22,87,2,5200,1018,170,S,140,SE
29/10/1987,9.9,1,0.3,14,Moderate,29,89,7,3000,1014,140,SE,140,SE
30/10/1987,11.5,9.3,0,13,Moderate,28,95,7,900,1011,130,SE,120,ESE
31/10/1987,12.0,3.5,0.6,5,Light,17,100,7,800,1014,150,SSE,310,NW
